"iso_code","country","Period beginning 2019-12-15","Period beginning 2020-05-01"
"AUT","Austria",2.9,2.9
"BEL","Belgium",0,1.3
"DEU","Germany",1,1.3
"DNK","Denmark",0,7.5
"ESP","Spain",6.5,1.8
"FRA","France",0.37,0.83
"GBR","United Kingdom",11,1.8
"HRV","Croatia",0,1.9
"ITA","Italy",0.62,0.77
"LUX","Luxembourg",0,5.8
"NLD","Netherlands",0,0.93
"POL","Poland",0,1.5
"ROU","Romania",860,0
"TUR","Turkey",0,1.3
"USA","United States",0,2.2
